TrendID,ProductGroupID,TrendDescription,TrendStartDate,TrendEndDate,MarketRegion,TrendType,ImpactFactor,DataSource,CreatedBy,CreatedDate,LastUpdatedDate
1,4,"Decline in sales of traditional ovens",2023-01-01,2023-12-31,"North America","Decline",Medium,"Market analysis","Admin",2023-01-01,2023-06-20
2,6,"Continuous growth in smartphone accessories",2023-01-01,2023-12-31,"Asia","Growth",High,"Customer feedback","Admin",2023-01-02,2023-06-20
3,8,"Steady demand for premium office supplies",2023-01-01,2023-12-31,"Europe","Steady",Medium,"Sales data","Admin",2023-01-03,2023-06-20
4,9,"Rising sales of personal care electronics",2023-01-01,2023-12-31,"Asia","Growth",Medium,"Market analysis","Admin",2023-01-04,2023-06-20
5,2,"Increase in sales of wireless speakers",2023-01-01,2023-12-31,"Europe","Growth",Medium,"Market analysis","Admin",2023-01-05,2023-06-20
6,5,"Seasonal spike in smart thermostat sales",2023-01-01,2023-12-31,"Europe","Seasonal",High,"Sales data","Admin",2023-01-06,2023-06-20
7,7,"Increasing interest in home fitness equipment",2023-01-01,2023-12-31,"North America","Growth",High,"Customer feedback","Admin",2023-01-07,2023-06-20
8,3,"Growing popularity of gaming laptops",2023-01-01,2023-12-31,"Asia","Growth",High,"Customer feedback","Admin",2023-01-08,2023-06-20
9,10,"Increase in automotive gadgets sales",2023-01-01,2023-12-31,"North America","Growth",High,"Customer feedback","Admin",2023-01-09,2023-06-20
10,1,"Rise in demand for 4K televisions",2023-01-01,2023-12-31,"North America","Seasonal",High,"Sales data","Admin",2023-01-10,2023-06-20
11,4,"Seasonal trends in microwave oven sales",2023-01-01,2023-12-31,"Europe","Seasonal",Medium,"Sales data","Admin",2023-01-11,2023-06-20
12,6,"Increase in mobile phone accessory sales",2023-01-01,2023-12-31,"North America","Growth",Medium,"Customer feedback","Admin",2023-01-12,2023-06-20
13,8,"Rise in demand for ergonomic office chairs",2023-01-01,2023-12-31,"Asia","Growth",High,"Market analysis","Admin",2023-01-13,2023-06-20
14,9,"Seasonal trends in skincare devices",2023-01-01,2023-12-31,"North America","Seasonal",Medium,"Customer feedback","Admin",2023-01-14,2023-06-20
15,2,"Popularity of multi-room audio systems",2023-01-01,2023-12-31,"Asia","Seasonal",Medium,"Market analysis","Admin",2023-01-15,2023-06-20
16,10,"Growth in automotive GPS navigation systems",2023-01-01,2023-12-31,"Europe","Growth",High,"Sales data","Admin",2023-01-16,2023-06-20
17,1,"Trending OLED TVs in high demand",2023-01-01,2023-12-31,"Europe","Growth",High,"Sales data","Admin",2023-01-17,2023-06-20
18,3,"Decline in sales of traditional desktop PCs",2023-01-01,2023-12-31,"North America","Decline",High,"Customer feedback","Admin",2023-01-18,2023-06-20
